station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region
APOLLO-BAY,0-22000-0-7811080,7811080,seaFixed,-38.7541,143.7232,0,0,AUS,southWestPacific
STORM-BAY,0-22000-0-5501882,5501882,seaFixed,-43.2308,147.4589,0,0,AUS,southWestPacific
CORAL-BAY,0-22000-0-5601875,5601875,seaFixed,-22.73264,113.90759,0,0,AUS,southWestPacific
SHARK-BAY,0-22000-0-5601876,5601876,seaFixed,-25.4934,113.0962,0,0,AUS,southWestPacific
HILLARYS,0-22000-0-5601873,5601873,seaFixed,-31.8513,115.6465,0,0,AUS,southWestPacific
OCEAN-BEACH,0-22000-0-5601874,5601874,seaFixed,-35.049,117.3638,0,0,AUS,southWestPacific
TORBAY-WEST,0-22000-0-5601877,5601877,seaFixed,-35.0687,117.7699,0,0,AUS,southWestPacific
BRIGHTON,0-22000-0-5501881,5501881,seaFixed,-35.025,138.45,0,0,AUS,southWestPacific
NORTH-KANGAROO-ISLAND,0-22000-0-5501870,5501870,seaFixed,-35.57,136.9255,0,0,AUS,southWestPacific
ROBE,0-22000-0-5501873,5501873,seaFixed,-37.1443,139.6521,0,0,AUS,southWestPacific
CEDUNA,0-22000-0-5501877,5501877,seaFixed,-32.505551,133.173413,0,0,AUS,southWestPacific
CAPE-BRIDGEWATER,0-22000-0-5501868,5501868,seaFixed,-38.359917,141.273933,0,0,AUS,southWestPacific
CENTRAL,0-22000-0-5501869,5501869,seaFixed,-38.062175,144.867225,0,0,AUS,southWestPacific
WILSONS-PROM,0-22000-0-5501883,5501883,seaFixed,-39.537883,146.48335,0,0,AUS,southWestPacific
BOB,0-22000-0-5501875,5501875,seaFixed,-38.62557,142.383117,0,0,AUS,southWestPacific
WOOLI,0-22000-0-5501874,5501874,seaFixed,-29.85744,153.31387,0,0,AUS,southWestPacific
COLLAROY-NARRABEEN,0-22000-0-5501871,5501871,seaFixed,-33.72645,151.30682,0,0,AUS,southWestPacific
BENGELLO,0-22000-0-5501876,5501876,seaFixed,-35.87995,150.1612,0,0,AUS,southWestPacific
TATHRA,0-22000-0-5501872,5501872,seaFixed,-36.70827,150.00104,0,0,AUS,southWestPacific
KARUMBA,0-22000-0-5501879,5501879,seaFixed,-17.35466,140.72812,0,0,AUS,southWestPacific
MISSION-BEACH,0-22000-0-5501880,5501880,seaFixed,-17.9852167,146.2040333,0,0,AUS,southWestPacific
FENTON-PATCHES,0-22000-0-5202531,5202531,seaFixed,-12.170433,130.7348,0,0,AUS,southWestPacific
MANINGRIDA,0-22000-0-5202532,5202532,seaFixed,-11.95501,134.30939,0,0,AUS,southWestPacific

